Italiano,Português
di,a partir de
e,E
il,a
la,lá
che,este
in,dentro
a,para
per,por
un,uma
del,do
è,é
l',EU'
con,com
i,a
della,do
non,Não
le,a
una,uma
si,sim
da,a partir de
al,para o
dei,do
sono,Eu sou
nel,no
più,mais
come,Como as
ha,tem
delle,do
alla,no
dell',do
ma,mas
anche,também
o,ou
gli,a
se,auto
ed,e
ad,para
dal,de
lo,a
questo,isto
nella,dentro
all',no
essere,ser
su,sobre
cui,que
ci,lá
alle,para
tra,entre
ai,para o
dalla,de
degli,do
mi,Eu
tutti,tudo
sul,sobre
solo,sozinho
d',d '
hanno,Eles têm
questa,isto
due,dois
anni,anos
loro,Elas
stato,Estado
parte,papel
prima,Antes da
sua,sua
sia,é
sempre,sempre
un',uma
tutto,tudo
ho,Eu tenho
era,foi
uno,1
suo,seu
dopo,depois
molto,Muito
sulla,no
può,posso  
ogni,todo
c',lá
nei,no
quando,quando
poi,então
nell',no'
senza,sem
perché,Por que
così,Assim
ancora,ainda 
quello,este
tempo,Tempo
fare,Fazer
fatto,feito
dall',a partir de
nelle,dentro
vita,vida
quanto,quantos
proprio,ter
altri,outro
chi,quem
lavoro,trabalhar
dove,Cadê
già,já
quella,este
modo,caminho
fa,faz
io,EU
ne,nenhum
anno,ano
altro,outro
via,Rua
grande,excelente
mondo,mundo
quindi,assim
Italia,Itália
cosa,o que
secondo,de acordo com
quale,que
oggi,hoje
dalle,dê a ela
dai,vamos
sarà,Sara
primo,primeiro
tutte,tudo
ora,Agora
questi,esses
attività,Atividades
vi,vocês
oltre,além
caso,caso
fino,até
ore,horas
nuovo,novo
noi,nós
volta,Tempo
casa,casa
grazie,obrigada
stesso,mesmo
viene,ele vem
dello,do
stata,foi
mai,Nunca
ti,vocês
città,cidade
nostro,nosso
quali,Que
fine,fim
qui,aqui
tre,três
agli,para
abbiamo,temos
mentre,enquanto
persone,pessoas
giorno,dia
possono,posso
bene,Nós vamos
possibile,possível
stati,Estados
invece,em vez de
punto,ponto
qualche,algum
infatti,na verdade
storia,história
mio,minha
giorni,dias
alcuni,algum
suoi,seu
centro,Centro
me,Eu mesmo
altre,outro
deve,precisa de
meno,menos
presso,No
attraverso,Através dos
s',s '
comune,comum
sistema,sistema
nostra,nosso
progetto,projeto
però,No entanto
de,de
sulle,sobre
corso,curso
ciò,isso é
nuova,novo
verso,em direção
sui,sobre
mia,minha
servizio,serviço
euro,EUR
circa,aproximadamente
queste,esses
sito,local
momento,momento
ricerca,Pesquisar
contro,contra
siamo,Nós estamos
base,base
rispetto,respeito
Roma,Roma
avere,Ter
sotto,debaixo
tanto,Muito de
lui,ele
particolare,especial
soprattutto,majoritariamente
aveva,teve
legge,lei
durante,durante
servizi,Serviços
poco,pequena
dire,dizer
quel,este
presidente,Presidente
fra,entre
negli,dentro
interno,interno
nazionale,nacional
società,sociedade
gruppo,grupo
san,San
ben,Nós vamos
insieme,juntos
quasi,quase
sta,é
piano,piso
esempio,exemplo
inoltre,além do mais
fu,foi
sue,seu
quelli,Essa
uomo,cara
tutta,tudo
va,vai
quelle,Essa
numero,número
territorio,território
tale,tal
meglio,Melhor
allo,no
altra,outro
far,Faz
erano,nós estamos
molti,muito
dati,dados
acqua,agua
forse,talvez
paese,país
sull',sobre
spesso,muitas vezes
stessa,mesmo
prodotti,produtos
volte,vezes
importante,importante
scuola,escola
comunque,de qualquer forma
posto,"Lugar, colocar"
livello,nível
qualità,qualidade
tipo,cara
visto,Visão
aver,tenho
dio,Deus
informazioni,em formação
cose,o que é isso
possibilità,possibilidade
detto,disse
sarebbe,seria
li,lá
propria,apropriado
pubblico,público
serie,Series
realtà,realidade
allora,assim
nome,primeiro nome
grandi,grande
alcune,alguém
sviluppo,desenvolvimento
terra,Terra
saranno,Eles serão
sei,seis
programma,programa
chiesa,igreja
vista,Visão
consiglio,Adendo
vero,real 
po',pedaço'
diversi,diferente
campo,campo
nostri,nosso
studio,estudar
presente,Aqui estou
bambini,crianças
settore,setor
milano,Milão
senso,senso
generale,em geral
grado,avaliar
forma,Formato
uso,usar
dato,dado
seconda,segundo
lungo,grandes
sembra,parece
politica,política
vengono,eles vêm
mesi,meses
tuo,sua
esperienza,experiência
problema,problema
gestione,gestão
sociale,social
mercato,mercado
diverse,diferente
maggio,Poderia
periodo,período
famiglia,família
certo,Certo
regione,região
almeno,pelo menos
vedere,Vejo
nuove,novo
fuori,Fora
opera,Ópera
personale,pessoal
italiana,italiano
libro,livro
ultimo,último
formazione,Treinamento
seguito,Segue
italiano,italiano
troppo,muito
zona,área
giovani,jovem
strada,Rua
persona,pessoa
quest',isto
sicurezza,segurança
potrebbe,poderia
subito,imediatamente
dare,dar
giugno,Junho
tratta,lida com
presenza,presença
governo,governo
luogo,"Lugar, colocar"
nuovi,novo
porta,traz
hai,Você tem
te,vocês
diritto,certo
lei,ela
film,filme
dagli,a partir de
associazione,Associação
foto,foto
amore,amor
parole,palavras
area,área
continua,continuar
data,encontro
provincia,província
davvero,verdade
azienda,agência
cura,tratamento
tu,vocês
occasione,ocasião
regionale,regional
problemi,problemas
prodotto,produtos
rete,internet
ormai,neste ponto
siano,eles são
qualcosa,algo
arte,arte
corpo,corpo
musica,música
produzione,Produção
attenzione,Atenção
mare,mar
cuore,coração
settembre,Setembro
donne,mulheres
no,não
gioco,jogos
fosse,é
sede,local
cultura,cultura
articolo,item
dice,Ele diz
luglio,Julho
spazio,espaço
percorso,caminho
incontro,Combine
buona,Boa
ordine,ordem
unico,único
scelta,escolha
oppure,ou
mano,mas não
quattro,quatro
situazione,situação
nulla,nada
ambiente,meio Ambiente
milioni,milhões
tua,sua
natura,natureza
voi,vocês
col,com o
rapporto,relatório
vuole,quer
luce,leve
inizio,Começar
state,Estado
valore,valor
presenti,presente
punti,pontos
forza,força
titolo,título
giornata,dia
semplice,simples
ottobre,Outubro
condizioni,condições
università,universidade
mezzo,metade
conto,eu conto
forte,alto
aprile,abril
primi,primeiro
ecco,lá
m,m
internazionale,internacional
avuto,teve
marzo,Marchar
fanno,Faz
cittadini,cidadãos
trovare,encontrar
pochi,alguns
fronte,frente
cioè,isso é
termine,prazo
guerra,guerra
tempi,Tempo
ambito,alcance
piazza,quadrado
nello,dentro
lavori,funciona
collaborazione,cooperação
dicembre,dezembro
qualsiasi,algum
causa,causa
successo,sucesso
trova,achar
controllo,Verifica
alto,alta
idea,idéia
locali,habitantes locais
dunque,assim
necessario,necessário
web,rede
riferimento,referência
maggiore,maior
europa,Europa
uomini,homens
tema,tema
struttura,estrutura
tanti,muitos
andare,ir
ultimi,último
paesi,aldeias
risultati,resultados
ruolo,Função
fondo,fundo
appena,assim que
italiani,italiano
scritto,escrito
bisogno,precisar
massimo,máximo
novembre,novembro
casi,casos
mese,mês
Maria,Maria
ultima,último
morte,morte
comunità,comunidade
poter,ser capaz
ragazzi,Rapazes
piccolo,pequena
partire,começar
possa,posso
domenica,Domingo
donna,mulher
futuro,futuro
buon,Boa
gennaio,Janeiro
richiesta,solicitar
studi,Educação
linea,linha
padre,pai
devono,devo
capacità,capacidade
video,vídeo
